strežba,5.07,cerklje na gorenjskem,1,dlje časa (občasno),dopoldan,začasno in občasno delo,Delo poteka v šanku na spodnji postaji gondole na Krvavec. Zaželene so izkušnje s strežbo. 
delo na sejmu,5.00,ljubljana center ,1,do 05. 01. 2020,po dogovoru,začasno in občasno delo,"Podjetje išče študente/ke za delo na novoletnem sejmu. Pogoji: pozitivnost, volja do dela in znanje angleškega jezika (zaželeno tudi italijnskega, a ni pogoj). Urnik prilagodljiv. Redno plačilo in možnost stimulacije. Prijave sprejemajo na e-mail. "
pomoč v strežbi,5.00,ljubljana,2,dlje časa (občasno),izmensko,začasno in občasno delo,Iščejo osebo za pomoč v strežbi. Zaželene izkušnje. Delovni čas po dogovoru. 
blagajnik,5.07,ljubljana ,5,dlje časa (občasno),izmensko,začasno in občasno delo,Trgovsko podjetje išče polnoletne kandidate za delo na blagajni v trgovskem centru. Fleksibilen delovnik. 
pakiranje,4.65,ljubljana,1,dlje časa (občasno),dopoldan,začasno in občasno delo,"Farmacevtsko podjetje potrebuje polnoletno osebo za pomoč v pakirnici trdnih izdelkov (pomoč na ročni liniji, pomoč pri sprejemu novo zaposlenih, skrb za zaloge proizvodne opreme). Delo poteka v dopoldanski izmeni. Začetna urna postavka je 5, 5 € bruto. ¨Prijavo s CV pošljite na e-naslov. "
model ,PO DOGOVORU,ljubljana -  po sloveniji,2,dlje časa (občasno),po dogovoru,začasno in občasno delo,Potrebujejo dve polnoletni osebi za snemanje (video in foto) materiala različnih blagovnih znamk. Organiziran prevoz iz Ljubljane. Kratko prijavo s kontakntno številko pošlji na mail. 
strežba,5.00,kranj ,1,dlje časa (občasno),izmensko,začasno in občasno delo,Pomoč v strežbi v kavarni in na prireditvah. Pogoj je starost nad 18 let in izkušnje. 
strežba,PO DOGOVORU,ilirska bistrica,1,dlje časa (občasno),dopoldan,začasno in občasno delo,"Strežba hrane in pijače v piceriji. Pogoji: starost nad 18 let, izkušnje pri delu s hrano in pijačo, doslednost pri delu z blagajno, komunikativnost, natančnost, urejenost. "
figurant,4.20,ljubljana in okolica,1,dlje časa (občasno),dopoldan,začasno in občasno delo,"Iščejo študenta/tko geodezije za pomoč pri zakoličbi gradbeno inženirskih objektov, geodetskem posnetku izvedenega stanja in ostalih geodetskih delih. Z delom je možno pričeti takoj. Zaželen je vozniški izpit B-kategorije. Možnost tudi kasnejše zaposlitve. Prijave sprejemajo na elektronski naslov ali preko telefona. "
lažja fizična dela,5.00,kranjska gora,1,do 31. 3. 2020,po dogovoru,začasno in občasno delo,"Pomoč pri postavitvi inventarja za potrebe raznih dogodkov, pomoč pri prestavitvi pohištva, pomoč pri urejanju okolice (čiščenje odpadlega listja, kidanje snega) in pomoč pri razvozu inventarja in perila. "
delo v delavnici,5.49,radomlje,1,po dogovoru,dopoldan,začasno in občasno delo,"Obvezne izkušnje s področja servisiranja motornih vozil. Od osebe pričakujejo polnoletnost, natančnost, zanesljivost, samoiniciativnost.  "
promocija,4.22,ljubljana,1,december 2019,po dogovoru,začasno in občasno delo,"Postani del - promo teama. Predstavljali boste enkratna doživetja in aktivnosti (več info na spl. strani). Urna postavka je odvisna od uspešnosti pri delu, po principu dober zaslužek za dobre (5 €/h bruto + stimulacija). Prijavo, izkušnje ter ime in priimek pošlji na e-naslov, subject: Promocije - ime priimek. "
